PKT_SIZE,SEQ_NUMBER,NUMBER_OF_PKT,NUMBER_OF_BYTE,PKT_IN,PKT_DELAY_NODE,PKT_RATE,BYTE_RATE,PKT_DELAY,FIRST_PKT_SENT,LAST_PKT_RESEVED,FLAGS_0,FLAGS_1
145,,1,145,950,1.83091749588695,583,5032,14.234182171245646,1715689555,1715689581,1,0
66,3229175914,1,66,805,3.731732789789516,442,4502,9.689605778770142,1715690477,1715690533,1,0
54,2093653282,1,54,1039,2.8039057389810544,512,5406,6.122119327729556,1715688326,1715688365,1,0
1494,2093653282,1,1494,995,2.9444830135457063,525,4839,14.832985163582267,1715689742,1715689763,1,0
568,2093654722,1,568,1146,2.4275938442936043,447,5852,8.42004852031099,1715690330,1715690360,1,0
66,3229175915,1,66,1134,3.1475208322505415,495,4337,11.973090410760152,1715689668,1715689722,0,0
54,3229175915,1,54,1026,1.1577003237071937,556,5077,12.891293917391703,1715689225,1715689245,0,0
288,3229175915,1,288,1079,1.7264788188287885,583,5786,7.1139695131105505,1715689612,1715689636,0,0
118,2093655236,1,118,1096,1.0097640453308405,565,4682,8.435786918666778,1715689067,1715689127,1,0
146,2093655300,1,146,838,2.0954722971246196,551,5670,12.189624106268075,1715689083,1715689137,1,0
631,2093655392,1,631,1091,3.9094374277233266,590,4114,7.18384425484086,1715689004,1715689026,1,0
54,3229176149,1,54,1157,1.3193663136577762,429,4394,13.237301668581251,1715689275,1715689282,0,0
200,3229176149,1,200,939,2.2287009633916806,436,5624,6.306237242411771,1715690689,1715690735,0,0
125,3229176295,1,125,893,4.722078457344647,538,4248,8.628049162314369,1715691123,1715691145,0,0
54,2093655969,1,54,815,2.725271448326336,409,4325,11.804097226143467,1715688251,1715688284,1,0
85,2093655969,1,85,840,2.819163128055903,577,5370,11.459359169723399,1715690448,1715690472,1,0
1450,3229176366,1,1450,842,1.9512700354009405,598,5473,14.877707083151373,1715690521,1715690568,0,0
54,2093656000,1,54,854,4.295837740010108,532,4110,11.192481276955881,1715689898,1715689907,1,0
138,2093656000,1,138,854,1.530312190048817,483,5076,9.950726417038194,1715691138,1715691139,1,0
54,3229177762,1,54,1119,3.546434572796473,572,5503,8.585161886543204,1715690044,1715690067,0,0
1049,3229179202,1,1049,1163,1.5091029578106019,437,5520,11.366417599856117,1715689472,1715689478,0,0
1494,3229177762,1,1494,853,3.3426781382417796,533,5945,6.584031376370039,1715689854,1715689895,0,0
66,2093656084,1,66,1138,3.3912472930752755,551,5352,13.494873408319135,1715688523,1715688568,1,0
54,2093656084,1,54,984,1.2430320077286217,589,4432,9.665352111112405,1715689296,1715689312,1,0
268,2093656084,1,268,885,4.968375419889486,510,5469,10.53340459957558,1715689047,1715689073,1,0
97,3229181637,1,97,980,1.0819028132670958,508,4043,6.81114933519339,1715689402,1715689409,0,0
1494,3229180197,1,1494,1031,4.557649016718051,437,5384,9.396944878819184,1715690850,1715690892,0,0
66,2093656298,1,66,1026,4.119127266970219,402,5921,12.045998298995507,1715688421,1715688439,1,0
54,2093656298,1,54,1085,4.941526838465294,564,4555,11.370783093368424,1715690830,1715690866,1,0
66,1214961872,1,66,867,3.079755532623109,551,5150,13.039285902457376,1715690680,1715690703,1,0
54,1389690034,1,54,1172,4.401072926144121,582,5889,12.191017912634907,1715690778,1715690794,1,0
365,1389690034,1,365,857,3.69124329575411,478,5510,14.096548533177579,1715688483,1715688501,1,0
66,138912735,1,66,1115,2.572825403451081,462,5262,14.157579156956377,1715689694,1715689727,1,0
54,3124390962,1,54,1169,2.517613201225256,583,5542,8.029416011549534,1715689081,1715689090,1,0
379,3124390962,1,379,1035,4.252880095397673,468,4107,9.202619229818032,1715689759,1715689812,1,0
89,4275546535,1,89,1141,4.4091975867020174,466,4924,9.523335129547574,1715689930,1715689983,1,0
54,1214961873,1,54,1110,4.810353504395932,600,5732,7.694802770390277,1715690430,1715690490,1,0
4410,1214961873,1,4410,926,1.0788848364730925,537,5178,9.110135108337817,1715689161,1715689172,1,0
1131,1214966229,1,1131,1090,3.5503767095375696,550,5210,13.93329191307513,1715690678,1715690726,1,0
54,1389690345,1,54,896,2.2780610117399585,477,4479,13.14539105286866,1715687594,1715687621,1,0
54,138912736,1,54,1076,2.636799937749426,568,5616,6.402897102417059,1715690044,1715690048,1,0
2958,138912736,1,2958,1085,4.7561379775467865,501,4063,7.953294677202759,1715689742,1715689769,1,0
1506,138915640,1,1506,969,1.7729726332161166,418,5559,13.314564221861216,1715691112,1715691148,1,0
54,3124391287,1,54,1152,4.837269762858153,551,5044,8.304692374479036,1715688444,1715688499,1,0
180,1389690345,1,180,1141,4.984752812121813,592,4094,11.058155044571208,1715688628,1715688638,1,0
1506,138917092,1,1506,1122,2.3834700916722578,530,5679,8.584169815624678,1715691171,1715691180,1,0
248,138918544,1,248,965,4.25624631765966,467,5695,7.232204277260575,1715690439,1715690498,1,0
54,3124391287,1,54,1095,4.940168887622177,563,5223,5.2275882383140555,1715689719,1715689777,1,0
180,3124391287,1,180,844,4.315458319686327,574,5386,12.275100028376148,1715689041,1715689082,1,0
54,4202504721,1,54,958,1.8572604177020144,486,5877,10.005727837206978,1715687741,1715687791,1,0
54,1214967306,1,54,899,2.566282074856637,546,5952,9.584095644511718,1715688594,1715688596,1,0
225,1214967306,1,225,919,4.989881293691054,555,4278,11.183579774759853,1715687937,1715687976,1,0
1050,1389690471,1,1050,1004,4.3630182427821715,491,5386,10.461118912418904,1715688484,1715688508,1,0
54,138918738,1,54,1180,3.796125741501317,422,5566,8.990239323876374,1715690653,1715690684,1,0
225,138918738,1,225,1126,3.9190372478827764,450,4998,10.929310647257918,1715691135,1715691179,1,0
321,3124391413,1,321,858,4.77614681583688,470,5638,7.478104741713296,1715690638,1715690677,1,0
108,138918909,1,108,1116,2.687689324821411,545,4914,6.272628515578806,1715690821,1715690869,1,0
383,3124391680,1,383,1131,2.822384406682981,403,5536,6.7752157975921445,1715689407,1715689425,1,0
1164,1214967477,1,1164,1046,4.421490137471027,571,4951,6.625771295322016,1715689505,1715689528,1,0
937,1389691467,1,937,981,1.8117336537621505,531,4463,9.118124884334442,1715688583,1715688584,1,0
78,,1,78,1117,2.224533248201502,434,5132,9.781677420279957,1715689757,1715689801,0,0
529,,1,529,1135,1.9018262306971936,573,5631,12.343093283414158,1715691101,1715691157,1,0
66,763408649,1,66,1047,4.202482453273809,485,5961,13.320222662624968,1715689258,1715689307,1,0
55,2087254565,1,55,1079,4.827595229564908,488,4199,6.075168906321567,1715689033,1715689040,1,0
588,138918963,1,588,1094,4.660388803395717,504,4893,11.679528382397198,1715688034,1715688060,1,0
54,1704531347,1,54,979,1.1203259824740028,441,4439,12.629009508579813,1715689728,1715689762,1,0
54,2087254566,1,54,881,4.77877366542772,527,4820,10.125738447755506,1715687709,1715687751,1,0
54,3124392009,1,54,1097,3.5460491033712875,418,4125,14.967195198624138,1715690096,1715690151,1,0
54,1214968587,1,54,917,1.0268570871885396,588,4086,6.343033093284101,1715689021,1715689023,1,0
484,1214968587,1,484,1031,1.3096955013732687,597,4452,13.490482471044603,1715688304,1715688319,1,0
210,1214969017,1,210,973,3.7195423405563246,552,5027,8.614344376480144,1715690535,1715690588,1,0
213,1214969173,1,213,847,4.932199581134867,418,5852,11.720681812832726,1715687929,1715687938,1,0
54,1389692350,1,54,918,4.162820831021024,448,4153,6.932118870649596,1715688003,1715688027,1,0
167,1389692350,1,167,975,2.6709688411256844,401,5609,9.538354748700716,1715690841,1715690857,1,0
54,1704531348,1,54,899,3.248277183443519,581,4093,8.620408410159055,1715691132,1715691134,1,0
66,3679685609,1,66,886,1.9089513661260353,522,4690,10.582461165045435,1715690882,1715690941,1,0
54,763408650,1,54,942,3.008560622830527,484,4051,10.294069608649366,1715687878,1715687925,1,0
365,763408650,1,365,1048,1.3272928929760401,471,4111,9.109450442550902,1715690382,1715690416,1,0
54,1214969332,1,54,1063,2.124784952452278,431,4384,6.482954876734639,1715689695,1715689729,1,0
226,1389692463,1,226,1089,1.6085621113021116,432,5095,7.18946119744858,1715688373,1715688423,1,0
1506,1214969332,1,1506,1005,2.2137218928162175,450,4041,10.83351553529905,1715690390,1715690425,1,0
956,1214973688,1,956,857,3.1294882412941276,496,5009,13.904103591457467,1715690709,1715690754,1,0
1506,1214970784,1,1506,840,3.158244851670366,566,5741,11.244918716387927,1715689661,1715689684,1,0
1506,1214972236,1,1506,1183,2.609027387867634,505,4687,7.6287491536203955,1715688611,1715688655,1,0
54,1389692635,1,54,861,2.6223573891580143,424,5262,9.226948281722002,1715688113,1715688156,1,0
66,1389692635,1,66,942,2.2326808406502385,429,4125,12.523100794238667,1715689380,1715689394,1,0
66,1389692635,1,66,1121,4.134125575811309,546,5621,9.422912566405476,1715691097,1715691136,1,0
54,1389692635,1,54,1059,1.6758474237376562,453,5782,9.35277401601498,1715690695,1715690753,1,0
54,3679685610,1,54,846,2.967088042298904,465,4795,13.380710238351174,1715690288,1715690307,1,0
4410,3679685610,1,4410,903,3.6172465521856916,405,5962,7.604210602098252,1715687882,1715687925,1,0
1107,3679689966,1,1107,1010,3.552600924811897,575,4257,8.106567587169138,1715690447,1715690505,1,0
54,763408961,1,54,1172,4.8390234179590355,465,4635,8.436447705896885,1715687790,1715687822,1,0
180,763408961,1,180,1058,4.018478584619421,458,5654,5.665081290511295,1715687848,1715687849,1,0
184,,1,184,1022,1.641629283874107,529,5782,9.30448224169886,1715690887,1715690912,1,0
75,,1,75,959,4.029205745809711,414,4180,12.465264924325716,1715689989,1715690006,1,0
153,1214974590,1,153,1162,2.0243301562062608,577,5104,9.025028597308513,1715688058,1715688076,1,0
54,3679691019,1,54,1168,2.8149675936547776,410,4608,14.763366838607936,1715689746,1715689790,1,0
225,3679691019,1,225,1167,1.9155416339203852,532,4066,9.431758022454616,1715690578,1715690634,1,0
388,763409087,1,388,942,1.1401180237489879,487,5212,14.324995088188748,1715689908,1715689955,1,0
54,1389692635,1,54,1192,1.6856414576073222,515,5583,14.991720063745536,1715691187,1715691237,1,0
108,3679691190,1,108,835,4.616809621121579,489,5601,10.200057388014955,1715689801,1715689854,1,0
1032,763409421,1,1032,1169,2.6519276633777857,565,5410,7.0108880498550405,1715691102,1715691128,1,0
54,3679691244,1,54,878,2.736216992711437,485,4750,11.393775424868112,1715690315,1715690363,1,0
512,3679691244,1,512,1137,4.2975960278979155,461,4644,8.364459263675505,1715689784,1715689817,1,0
54,763410399,1,54,1066,1.816106199225728,454,5161,14.779711451054974,1715689725,1715689733,1,0
86,,1,86,1055,1.4832687359315728,411,5199,8.368181025148449,1715690468,1715690515,0,0
119,,1,119,812,3.929082970802516,585,5164,12.919348808164344,1715690199,1715690247,1,0
55,552335611,1,55,949,2.628612984586499,542,4810,7.052989546820905,1715688411,1715688450,1,0
66,935577780,1,66,1084,4.570492968663276,527,4232,11.772695917797845,1715688442,1715688464,0,0
152,1214974689,1,152,1103,1.635184706677038,407,5868,12.0359594566151,1715688031,1715688068,1,0
459,1214974787,1,459,803,2.380303123645347,478,5036,7.237815954606437,1715689791,1715689831,1,0
317,1214975192,1,317,805,1.3247917308408166,450,4958,5.53409066179251,1715687796,1715687829,1,0
54,1389692635,1,54,1103,2.3025540075837037,422,5072,13.36156044248576,1715688360,1715688403,1,0
1002,1214975455,1,1002,959,4.603979595842658,501,4538,8.492675392458732,1715689559,1715689601,1,0
477,1214976403,1,477,822,1.2696650966121368,454,4348,6.744999718535254,1715690831,1715690885,1,0
54,1389692635,1,54,967,2.0843410700616025,477,4548,6.987091954570362,1715688933,1715688983,1,0
54,1389692635,1,54,834,4.52345034805357,501,5964,7.637984531039179,1715689135,1715689142,1,0
78,2083458919,1,78,1107,4.106992220372437,417,4181,11.085141162970672,1715687638,1715687684,0,0
82,2048535482,1,82,1093,2.2229831372755386,593,5816,14.99394769893969,1715688809,1715688862,1,0
54,2083458943,1,54,1118,1.9116688761048466,424,4345,9.268612906690688,1715689104,1715689154,0,0
769,,1,769,970,1.2926719387749261,476,5155,5.172917901713179,1715690176,1715690180,1,0
184,,1,184,946,2.6232355799385725,574,4502,11.879391891019678,1715690419,1715690477,1,0
75,,1,75,948,1.8257735163280238,597,4121,6.051284156442448,1715689699,1715689729,1,0
97,932994119,1,97,840,3.6207879324626746,570,5702,12.530262846710448,1715690399,1715690421,1,0
54,1786882092,1,54,1110,4.012601373314943,527,5928,9.832420016786672,1715688570,1715688589,0,0
94,1786882092,1,94,1069,1.8095535638928837,501,5563,13.585299794200319,1715691125,1715691162,0,0
54,932994162,1,54,830,3.0046117704644835,444,5568,9.692921304475002,1715688599,1715688602,1,0
55,2087254565,1,55,861,1.455812335094964,419,5621,14.767799757306145,1715689850,1715689894,1,0
54,1704531347,1,54,1112,3.5478837336071294,554,4055,12.031615932525849,1715689810,1715689820,1,0
54,2087254566,1,54,870,2.2460473239750525,600,4658,13.390954943270723,1715689881,1715689937,1,0
54,1704531348,1,54,1065,3.191487719064342,427,5558,9.997688215502912,1715688853,1715688865,1,0
365,763410399,1,365,1189,4.22790801914156,487,4545,10.850733428696628,1715688817,1715688824,1,0
54,3679691702,1,54,1199,3.6899838896134485,469,4713,11.08084132393185,1715687840,1715687874,1,0
108,3679691702,1,108,1119,4.097924895964251,424,5057,12.154738965718337,1715689435,1715689454,1,0
1506,763410710,1,1506,850,1.122959195664078,467,4768,13.168233311971488,1715688065,1715688072,1,0
1419,763412162,1,1419,1001,1.1504774783280647,404,5103,5.330389592295336,1715690256,1715690282,1,0
54,3679691756,1,54,939,1.7835004941224857,537,5660,11.149775547421646,1715689337,1715689340,1,0
512,3679691756,1,512,1053,2.869546292403991,527,4871,6.067743411720655,1715688966,1715688987,1,0
54,763413527,1,54,869,3.35246154359247,421,5332,10.26599468139695,1715687729,1715687772,1,0
71,,1,71,872,3.828510698614538,476,5161,8.825429384917815,1715689978,1715690010,0,0
71,,1,71,957,1.928756837156374,457,4275,14.427928236098486,1715688449,1715688501,0,0
128,,1,128,1125,2.281392401647865,444,4155,13.347256958159555,1715687767,1715687795,1,0
554,,1,554,1040,3.812418022962194,511,4191,9.425558084245537,1715690266,1715690294,1,0
1292,,1,1292,1004,2.2997881584759665,567,4788,6.006567570385939,1715690833,1715690846,1,0
1292,,1,1292,1194,3.0682862174061283,464,5933,5.0734756808912715,1715690821,1715690833,1,0
123,,1,123,945,2.9326156052751244,440,5608,11.205338382131451,1715689694,1715689713,1,0
865,,1,865,1193,4.120533559244894,450,5542,10.134833280939684,1715688363,1715688399,1,0
214,,1,214,1182,2.300039021945359,464,4536,9.994812918409064,1715689376,1715689430,1,0
80,,1,80,1002,1.1909381721321544,542,5848,5.809636623535374,1715688913,1715688928,1,0
85,,1,85,887,1.4945287177396103,467,5558,10.262325924186756,1715690465,1715690474,1,0
1292,,1,1292,993,3.556737192015647,446,5048,14.655300533617549,1715688674,1715688703,1,0
978,,1,978,851,2.611978932334112,445,4065,5.664029009771749,1715689823,1715689875,1,0
67,,1,67,1097,3.3679915971224,481,5622,7.958304825615761,1715690334,1715690372,1,0
1292,,1,1292,1021,2.1996980895876055,594,4368,10.867777294980634,1715688383,1715688426,1,0
342,,1,342,959,1.5982800882458879,522,4675,14.35772423747221,1715690667,1715690716,1,0
1288,,1,1288,1095,1.9936756912490705,571,5170,9.030363308187606,1715691083,1715691098,1,0
1292,,1,1292,1062,2.2294981870428274,411,4132,8.970335101597904,1715690012,1715690037,1,0
1292,,1,1292,1111,4.65160654808711,597,4903,8.846054468807633,1715688664,1715688705,1,0
1292,,1,1292,882,4.904010925115877,553,4423,6.690060570561568,1715689204,1715689241,1,0
77,,1,77,1051,2.321970663999669,481,5212,7.041699546658112,1715688943,1715688991,1,0
73,,1,73,1152,4.386859106490383,555,5819,6.961780891637482,1715689888,1715689946,1,0
1292,,1,1292,1078,4.086702561271426,554,4277,7.593674484538898,1715690934,1715690990,1,0
1292,,1,1292,1000,3.4795082085763522,530,5646,11.207810924895526,1715690141,1715690169,1,0
73,,1,73,862,3.4966863400348984,479,5154,8.93958665900101,1715691144,1715691161,1,0
1292,,1,1292,1200,2.709935099907735,580,5660,13.259289805081178,1715689846,1715689849,1,0
1292,,1,1292,1057,2.976084961504236,474,5645,12.146434427545518,1715688757,1715688807,1,0
1292,,1,1292,875,2.5400368548188603,571,4507,10.540183478045977,1715689919,1715689924,1,0
1292,,1,1292,1151,4.329151825185191,500,4384,11.326512173979946,1715688193,1715688210,1,0
73,,1,73,972,4.867547674183582,532,4405,12.183524967685695,1715687950,1715687969,1,0
1292,,1,1292,1152,3.2765442270751532,541,4900,5.971902783130609,1715690923,1715690964,1,0
1292,,1,1292,836,4.883283627385352,585,5105,7.492795335566793,1715690980,1715690983,1,0
1292,,1,1292,821,1.4636126498287791,414,5143,6.7662146006567685,1715689267,1715689326,1,0
1292,,1,1292,1007,3.799033530618104,576,4461,6.470104515461788,1715688181,1715688239,1,0
73,,1,73,944,4.1650440503551,414,4028,6.9237855048390395,1715689220,1715689275,1,0
73,,1,73,845,2.1475680206714993,533,4169,5.323824021103806,1715690852,1715690910,1,0
73,,1,73,1094,4.714563689753633,445,5139,5.757586498207868,1715688715,1715688766,1,0
1292,,1,1292,1186,1.6918068092974092,574,4875,5.258618867443491,1715690068,1715690127,1,0
1292,,1,1292,945,2.3617938216002696,490,5627,5.009209842555058,1715688684,1715688693,1,0
1292,,1,1292,1081,1.12224382271509,508,4124,7.214341287659764,1715689712,1715689749,1,0
73,,1,73,978,4.419172074861647,421,5713,13.171275246073925,1715690174,1715690188,1,0
1292,,1,1292,1004,1.8841069910953512,582,5259,8.671590526397011,1715689301,1715689315,1,0
1292,,1,1292,848,3.9398018272310695,403,4581,12.809954401153925,1715689724,1715689773,1,0
73,,1,73,1039,4.49363304657644,600,5038,8.228685772931053,1715687777,1715687826,1,0
1292,,1,1292,911,3.6441799119653857,498,4739,9.680052640166863,1715690648,1715690690,1,0
1292,,1,1292,975,4.310766889176293,434,4661,14.220216575092973,1715690909,1715690954,1,0
1292,,1,1292,1015,4.642092663402581,560,5472,14.911895177761368,1715690387,1715690432,1,0
1292,,1,1292,843,3.4329394179383743,541,5867,6.355082721056215,1715689785,1715689789,1,0
1292,,1,1292,830,1.61065292433417,583,5294,10.774079064321267,1715688619,1715688637,1,0
1292,,1,1292,1096,1.4499027431593943,423,5013,12.260716787648818,1715690113,1715690167,1,0
73,,1,73,1041,2.408541425971663,456,4038,6.551831359355528,1715689975,1715690033,1,0
73,,1,73,1007,3.0786132090740095,575,5544,14.844226388420749,1715688139,1715688186,1,0
73,,1,73,1181,2.545440713762726,498,4030,7.064795063972849,1715690937,1715690982,1,0
1292,,1,1292,1079,4.852514616112584,531,5810,11.289715905025457,1715689503,1715689536,1,0
1292,,1,1292,1006,1.6595659461155146,514,5808,10.440021040826705,1715688810,1715688832,1,0
1292,,1,1292,881,2.7576228780692245,534,5611,8.848214929854334,1715688816,1715688843,1,0
1292,,1,1292,1125,4.794059934861934,444,4608,8.842568808627263,1715690173,1715690190,1,0
1292,,1,1292,1101,3.829090660011309,530,5866,14.38349254946964,1715689698,1715689740,1,0
1292,,1,1292,914,4.055684381982754,503,4787,10.61301577594758,1715690419,1715690445,1,0
73,,1,73,996,3.2844975081834757,532,5582,11.162822214707074,1715688212,1715688267,1,0
73,,1,73,1109,4.884691816892076,570,4250,10.614626964454619,1715688267,1715688283,1,0
73,,1,73,1065,1.6357020786545817,596,5199,10.473283268891766,1715688748,1715688762,1,0
1292,,1,1292,929,1.590273607950265,421,4341,12.727881831108668,1715689824,1715689869,1,0
1292,,1,1292,1026,3.4635594903292812,489,5256,8.222395167850621,1715689344,1715689394,1,0
1292,,1,1292,1019,1.0522896582049852,432,5557,5.595406919382042,1715690809,1715690815,1,0
73,,1,73,842,1.4139323609934786,480,4532,10.850199345195666,1715689940,1715689995,1,0
73,,1,73,1013,1.8307654808909932,409,4583,6.768879310270456,1715689027,1715689055,1,0
1292,,1,1292,1039,1.265608692917405,548,4520,10.567654796177093,1715688309,1715688316,1,0
1292,,1,1292,849,3.729141878063977,449,5894,13.693635462782531,1715689678,1715689697,1,0
1292,,1,1292,982,1.6093200204346836,476,5706,13.479796403443316,1715690034,1715690065,1,0
73,,1,73,997,4.175614672375651,583,5636,7.34381912336316,1715688581,1715688616,1,0
74,,1,74,855,4.6985156035846565,500,4281,12.384886070967235,1715688608,1715688666,1,0
162,,1,162,1063,3.898680816873419,523,5917,13.850568048376736,1715688252,1715688288,1,0
1292,,1,1292,924,3.643254336952091,437,5705,5.573304030843394,1715690712,1715690733,1,0
73,,1,73,1053,3.767243301979992,566,4211,11.878759712301964,1715690307,1715690320,1,0
1292,,1,1292,1064,4.550382013390265,513,5480,6.779728003020555,1715690186,1715690198,1,0
1292,,1,1292,988,1.8341956984017536,463,4755,13.238325755307464,1715690626,1715690649,1,0
78,,1,78,1151,2.9171723109955683,426,5749,12.345332304475502,1715689867,1715689916,1,0
1292,,1,1292,1174,1.7102449776861959,459,4113,9.51153164565859,1715687641,1715687667,1,0
1292,,1,1292,994,4.3849494008177015,570,5877,8.43229847607402,1715688811,1715688817,1,0
73,,1,73,817,1.692621760950554,453,4503,9.44905470110973,1715688902,1715688930,1,0
1292,,1,1292,914,2.4197430075789907,524,4428,13.244588012631356,1715688916,1715688954,1,0
1292,,1,1292,992,2.948357340881246,562,4315,12.630058088020183,1715687758,1715687794,1,0
73,,1,73,1052,4.762191582969698,527,5343,5.892441596713378,1715690230,1715690274,1,0
1292,,1,1292,878,3.3152137764892595,467,5000,9.241299939821518,1715690054,1715690114,1,0
1292,,1,1292,1086,2.3218826218586717,417,5730,11.522190444840485,1715690157,1715690210,1,0
73,,1,73,1188,3.854351754390096,469,4918,12.681701493381174,1715690326,1715690328,1,0
1292,,1,1292,1199,3.0989801672234076,436,4803,12.162180719818613,1715689831,1715689851,1,0
1292,,1,1292,1099,2.6966780014876477,453,4892,14.352041150647713,1715689890,1715689940,1,0
73,,1,73,1091,3.1938548048673345,453,5748,7.526750803813681,1715690123,1715690165,1,0
1292,,1,1292,1182,1.669465674974358,444,5416,12.842891986413477,1715688217,1715688243,1,0
1292,,1,1292,1195,2.8860669697569414,478,4232,6.819068255274068,1715690276,1715690287,1,0
73,,1,73,873,3.5373044498296284,448,5710,14.442941940459704,1715687755,1715687787,1,0
1292,,1,1292,1133,3.182138702331209,443,5579,11.128631772291833,1715688488,1715688492,1,0
1292,,1,1292,853,4.01806204042804,578,5527,13.902185764503779,1715689689,1715689697,1,0
73,,1,73,1094,2.9711556226765845,540,4685,5.013658481615163,1715690903,1715690932,1,0
1292,,1,1292,939,4.219815769327518,446,4372,10.125978741622259,1715689919,1715689969,1,0
1292,,1,1292,816,3.4866418451304355,554,4894,7.784534210983458,1715689645,1715689692,1,0
73,,1,73,944,1.8478516851481284,571,4141,14.889087588561623,1715690814,1715690833,1,0
1292,,1,1292,914,3.7136206900407203,441,4473,5.697710683092378,1715690934,1715690959,1,0
1292,,1,1292,828,1.431088864180217,593,4122,13.078442218937765,1715688259,1715688318,1,0
73,,1,73,961,4.134615551521621,471,5623,14.59389483230871,1715689360,1715689413,1,0
1292,,1,1292,928,4.3802985857263845,465,5733,14.101098833804715,1715690084,1715690142,1,0
1292,,1,1292,1018,4.189157128936602,595,4584,14.257432845830023,1715688770,1715688812,1,0
74,,1,74,1110,2.818632459137206,527,4283,8.90060723998696,1715688637,1715688673,1,0
1292,,1,1292,1023,3.0344520901631484,566,4311,5.431211938430279,1715689496,1715689530,1,0
1292,,1,1292,901,1.9272947884202005,407,4047,7.5333113332752895,1715690702,1715690713,1,0
74,,1,74,1030,3.6718595853117044,462,5395,6.323674554761651,1715687736,1715687759,1,0
1292,,1,1292,939,1.5773840502240608,585,4202,14.090579874190379,1715688943,1715688952,1,0
1292,,1,1292,1006,1.312895812457974,551,5696,6.504069215400213,1715687932,1715687945,1,0
74,,1,74,1183,2.025605913154504,567,4102,6.533054746968851,1715689378,1715689432,1,0
1292,,1,1292,1001,2.1088696266183002,563,4341,11.521059567765699,1715690423,1715690450,1,0
1292,,1,1292,839,2.7635003942829037,450,4625,13.077719744404796,1715688517,1715688546,1,0
74,,1,74,963,2.081225032022788,509,4953,8.933157033862084,1715687846,1715687906,1,0
1292,,1,1292,825,1.5287728775514706,592,5094,10.783330766284545,1715690451,1715690510,1,0
1292,,1,1292,933,3.0210107824140278,450,5008,13.867734831058113,1715689029,1715689080,1,0
74,,1,74,1061,1.342530243095423,441,5389,10.637129022228445,1715691157,1715691195,1,0
1292,,1,1292,1198,1.8793116124435403,464,4716,5.88461188605664,1715688739,1715688773,1,0
1292,,1,1292,1111,2.4730017334351975,497,4968,8.16518044420894,1715687894,1715687904,1,0
74,,1,74,873,4.694122607941233,556,5708,7.545511086496287,1715689079,1715689139,1,0
1292,,1,1292,843,1.8461383696555234,568,5167,14.64317198902089,1715690083,1715690141,1,0
1292,,1,1292,1002,1.924789198735946,485,5296,11.911163106142368,1715689139,1715689145,1,0
75,,1,75,954,3.394163241360908,588,5284,12.292191513836833,1715689227,1715689282,1,0
1292,,1,1292,818,4.356721531184975,416,5660,11.828839763469091,1715690612,1715690656,1,0
1292,,1,1292,1138,3.7057678275771937,581,5300,10.321840355604747,1715689871,1715689886,1,0
75,,1,75,1038,3.09703388942744,500,5819,12.72376445325036,1715687966,1715687982,1,0
1292,,1,1292,1069,3.5354020250617775,409,5304,5.459036032575833,1715691015,1715691017,1,0
1292,,1,1292,856,3.123981937122245,583,5797,8.277899505524468,1715691150,1715691210,1,0
75,,1,75,815,1.1135836937762336,425,4745,14.33420072714305,1715690330,1715690346,1,0
1292,,1,1292,848,3.985327317546006,560,5136,8.042286299252936,1715690854,1715690868,1,0
